sampleplotid,sampleplottype,volume,pinevol,sprucevol,decidvol,rad,blue,green,red,re1,re2,re3,nir,nirnarrow,swir1,swir2,hh,hv
423310,1,258.31,0,98.24,160.07,20,753.8023952,583.8672655,326.0149701,632.1267465,2034.762475,2524.963074,2489.469062,2907.387226,986.8453094,351.4610778,5973.387626,3982.609848
423313,1,257.55,0,142.4,115.15,20,771.7577578,600.9039039,345.4864865,586.2072072,1766.788789,2346.716717,2379.833834,2572.423423,854.974975,320.4074074,7283.602792,3921.833756
423314,3,7.89,0,5.04,2.85,20,814.065,741.021,444.949,856.82,2433.375,2985.7,2998.816,3314.196,1378.062,550.29,8590.513924,5397.656962
423315,1,169.49,0,155.8,13.68,20,743.4844845,538.6276276,296.4224224,424.7987988,1130.741742,1458.810811,1403.206206,1609.426426,545.5675676,187.6606607,7068.802281,3766.505703
423316,1,164.02,58.99,87.18,17.85,20,763.6889332,583.4197408,345.8295115,540.7706879,1414.422732,1764.763709,1752.807577,1984.633101,803.8823529,330.3698903,8966,3982.514066
423318,1,243.38,0,243.07,0.32,20,740.595,556.76,298.04,509.627,1247.627,1563.282,1454.936,1663.934,542.846,212.882,8959.443325,3992.918136
423319,1,185.96,113.34,34.18,38.43,20,753.2089552,555.4955224,318.0129353,496.3452736,1379.109453,1703.378109,1675.21791,1877.724378,646,253.2308458,6762.076142,2964.969543
423320,1,206.79,206.79,0,0,20,765.5439122,583.0359281,343.1227545,550.3073852,1614.610778,2082.247505,1989.311377,2322.972056,743.0958084,295.7904192,7684.830165,5679.046895
423323,1,145.18,0,20.11,125.08,20,760.6606426,616.311245,349.310241,659.8202811,2095.653614,2810.531124,2585.238956,3141.606426,1032.924699,373.8805221,7982.130545,3997.107731
423324,1,312.29,76.33,197.55,38.42,20,753.2721834,558.4945165,311.4855434,485.1226321,1145.178465,1379.784646,1312.153539,1514.129611,571.5682951,216.7028913,5580.992509,2987.405497
423325,4,166.77,0,0.71,166.06,20,773.7150866,612.3261978,346.9291539,649.4826707,2158.696738,2800.422528,2683.590724,3139.394495,1143.263507,412.6824669,6291.588832,3629.101523
423335,1,88.31,76.18,0,12.13,20,791.8971029,647.4015984,379.027972,676.0729271,2132.988012,2735.749251,2648.205794,3019.20979,995.8841159,365.7202797,7584.234257,3978.471033
423336,1,79.35,75.31,4.04,0,20,803.9169169,642.1051051,372.3473473,617.4034034,1912.411411,2385.166166,2339.482482,2612.907908,767.7917918,287.6766767,7455.7782,4827.888466
423337,4,315.56,229.6,84.19,1.77,20,780.1482986,604.472321,336.2640934,562.3407821,1381.087862,1648.158456,1581.284916,1818.796343,690.3321483,290.6399187,8249.034005,4243.018892
423339,4,253.23,51.45,200.74,1.03,20,764.4393709,582.7650939,327.8087265,520.948757,1302.66413,1587.505327,1508.365297,1731.320142,643.3896499,272.7666159,7458.292946,4442.431606
423347,2,25.78,5.26,6.53,13.98,20,789.7565944,676.1496079,382.5744984,772.9971484,2284.182605,2755.78175,2763.149812,3104.38232,1194.169773,454.389449,6771.271698,3942.210063
423348,3,0,0,0,0,20,912.5149402,814.4003984,772.3157371,1071.651394,1753.11753,2069.278884,2112.812749,2375.404382,1959.023904,1055.125498,5131.356777,2852.098465
